title,source,date,url,category,thumbnail
Bounou and Morocco eye further success,FIFA,2026-06-05 22:00:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxPMUR4S2hIWUtsazkzemh3bTh1c0gtU292TF9RSWNWQTYzV2Z6V3NLbVVfUzZDRVJoUTJxWVFTYnFEMTNJSmxxYmpYaUlzekp2aEo2c1E5cEJvZXg1LUNBYnZ0U2FyYmduX2FteUxOSmdaQkY4QnlJRDNpZFNmMTdROXVxbHJUQlp2QzAyd2k4cFhiUTVtaGZaMVVPSjVGakpabVhBanN5X1VFRlFDdk93Ng?oc=5,other,
Why fans are feeling frustrated — and misled — over World Cup tickets,The Seattle Times,2026-06-05 13:00:00,https://news.google.com/rss/articles/CBMivgFBVV95cUxPR3FoaDZDSk1kMGZ1WjUtQllyZ2wxX3pNaW5rUGo5Mkwzc05ETVlYbXRQVHNvZF81dzlrUG82X09PVjJzdFI5VUstLTVMMlJrZG1pejUtNDZ2dHBzOTQzcWRJRzJUZ2hFQjltRGUwTE0xVGNKVmh6Yi1vT2ptTVNEQWtWQUNOc3ZiVzdWV1BHOG9FUW1rLWNWdWlZUEc0VTJJZnBFTHB0MHNnSV9vOVRqdTZ4UWZUNlZYWnRTVWxn?oc=5,tickets,
Most dangerous World Cup ever? Climate change poses growing risks for players,Los Angeles Times,2026-06-06 11:00:00,https://news.google.com/rss/articles/CBMirwFBVV95cUxOM0dUVnpHN1lBRFZPMVc1cHJiemVneGdNeV82aldqM1c4UzJsVzdtNzNwQld0OXlkQkpRUUkwNmNVV0xNNFVTMHY1eDFLdmh4N2dJbUY3OEVSYVJzUnJUSFJ0Mk1nOWtGQ0l2TkRqZW9CeWgyUnA2TUg0dHFlc29YNHItV1VSd3prbjFiQVdNVzRibEk0Uk51bmdTNWxGQTlLbzNyb2lPVXhNX29oNm1R?oc=5,match_reports,
New York Mayor Mamdani: ‘FIFA’s World Cup water bottle policy is concerning… I’ll follow up’ - The Athletic,The New York Times,2026-06-05 22:14:30,https://news.google.com/rss/articles/CBMijgFBVV95cUxOanB1THl4QzhINXdBeWNJSVlQN0g5RVN4bVZrZFRvRTdHcXVIaFZMU0VUYnNqV3FuU2RjY25WT3pLaTdRVFNMU0tTTTM5bW1qNFFmTmh4N2kzSjJsR2xQVnNMODR5bWFPWnhwRGdWalZGUVRhaGdQZ3p6am5NOGJ1Ykcwd28zQTBhYWdJRnBB?oc=5,other,
The power games that paved the way for Trump’s World Cup,Financial Times,2026-06-06 04:00:24,https://news.google.com/rss/articles/CBMicEFVX3lxTFB0ckltYzliUURkOG5FWlZ4QTZZVnRycncyc3FQc0d2dW92TFZZZVF6bGlERXJQUUU5Wk1mY09QZmxFWTEzTGhiTHpIeEpQdnl4YVZacHI3UVJRdUpURlF4MHlvOWxfd0pRakVWY19Wem0?oc=5,match_reports,
Space Needle transformed into giant soccer ball ahead of FIFA World Cup 2026,KING5.com,2026-06-05 23:06:00,https://news.google.com/rss/articles/CBMigAJBVV95cUxOSml2c0dnZHYzY21oTjVqNGR4cXg5dW1Tam1oN3FiNXQyMHNaMk43a0pQSmp2S1hhVV9RU08xNjlZeVZRVnd4VWg5LUNnY0lWaEQ4QjNLMlpzVW84WkZQeDBlZHpBZTdKZnk3Mkg1ekdHaVpZTmtOYUNyUHBUUGQyWVNlaVJhQ0ZBb1hlOVYwZzBUdXJOT19rYUdQU0VIaHNjRzFMTDc4eVpqbEFwV3RYRUsyQThzQm9ZbkZkNE1KdDBxeVRiQ1VYNUd1c1p5VGZiVmo4b2ZQdW9YZ1NYcmlfeEt3YkhmVkJtRmNtVFhnNEJkMGk0UEJuLTJyZW1kZXZl?oc=5,other,
US Denies Visas to Iran National Football Team Officials Ahead of World Cup,تسنیم,2026-06-06 06:27:32,https://news.google.com/rss/articles/CBMixwFBVV95cUxOZHBfa19EMTZvcU82TXNPSHlnVWdoMnlSNnVpX19hakcxa01uT3hVN0xmS29fZ0RaeUJWV2R5d2hhcFRENFJwYXdsQVJqTFNHUGgxMklkUm1UdlJmNnRDdEhFWm53QlVUWDdfak92aWVrZjhweE01Z1g2ZEl5eVlFemlmbWxPZG94b2JQRWxPSTUyRk9xWDFoUDBRWEJPZkRYMlNHblRJbUJvZzdmRnBWbFhjRGdaQzlQdDJKX2FTaS1tRXlvMjMw0gHMAUFVX3lxTFBPTmZLc2lTbWppZjdSeVcwc0diaXlxektuSVMtZWxGQjBKMlRES1IycmVqOW9Ld3hFR19BbFMwRWprUTd1NzFyQm5vbkV6YVZVbU0wdGtoVnAweml6NDV2QzFfY0N0Y3Z4aVM1Y1lBX3Z6Q2syQ1Atcnc5SVFQSDZib2QtMENPU0xQMHBXSWxKbHk2WkpnVnZUTE56U0NyUUpCdy1vSEhmX1JlLU8xZW1jcWNZUzE1elhkbWZ4TTM2QW9jcUk2MlFmWC01TA?oc=5,other,
SoFi Stadium workers authorize strike a week out from World Cup,Reuters,2026-06-06 04:40:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxOYUdZNG9rRWZJeFI1NU9jc1E4Z2FBSlp4Qzd6S3gzSmJEYjRDZXZmN3gwR3kySnU1X3lGbTZiVjR5TXBhSDZaNXBIMUZPdUdrNWpBTUxXeXg0QTdQMlQyUFRKSDRfNWNyU0xjY1JrRU5NNmNZZTN2c1QxSFN6T3dNTmt2Wk9jWWZOQ2VKaGdIZzFPZG5TaFVVeHB1TC0tMzdZUUlyZzQwTUowdzlhVnBzcA?oc=5,injuries,
Fifa announce major change to national anthems at World Cup 2026,the-independent.com,2026-06-05 08:19:00,https://news.google.com/rss/articles/CBMipwFBVV95cUxPZmhlZ0NTdmU2RkNFak93djdMZXdTRUtYRmlFR0hhTHZRbEljckgtTlVtX3FxTU5xbXZlVVEyVVY2VGl5Y0tDbzk2Q2QtRkt0eG5vdjVKdDFBeTlUVFMzaXo2MU1uUWNDLTRhdmJsZlVGMWJpamxKRkZURWV1NThyRUdmbUdpN0x5TU8tRUQtaHRwaEMxREFHbmFCaVZTZ182UDNJZWVzdw?oc=5,other,
"Exclusive | Prince William, Kate Middleton’s plans for FIFA World Cup 2026 revealed",Page Six,2026-06-04 15:59:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxOZWdGc0xlbENleEpPSklQMHMxWGs2bXZVTkQzS1B2M2t3WU04YzhtNWJCV0Z2QjM0SmV3ZGx0SzBacHh1a2FuazRtTXp4Tko5T28zX3J4VElzTHhCRlh4WDRDa01Qa2tvaDlwZmQ1cHFQRnpjRjQtVm12UE8ybDlJdVY4YW1QVE5FXzhiUjhYb1Q5NlFpZDI5ODZ3dll4OUZDa2hsb3g3OGU0WWFDbEE2U0ZFMXI?oc=5,other,
